Title,Price,Brand,Model,Year of Manufacture,Engine capacity,Mileage,Bike Type,Condition,Trim / Edition,Location,URL
TVS Raider 125 2026,"Rs 157,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Ingiriya,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-kalutara-206
TVS Raider 125 2026,"Rs 157,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Beruwala,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-kalutara-205
TVS Raider 125 2026,"Rs 157,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Bandaragama,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-kalutara-204
TVS Raider 125 2026,"Rs 157,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Kalutara City,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-kalutara-203
TVS Raider 125 2026,"Rs 157,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Panadura,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-kalutara-202
Yamaha FZs V2 2017,"Rs 790,000",Yamaha,FZs V2,2017,150 cc,"65,000 km",Motorbikes,Used,Yamaha,Akurana,https://ikman.lk/en/ad/yamaha-fzs-v2-on-light-2017-for-sale-kandy-2
Bajaj CT100 2005,"Rs 210,000",Bajaj,CT100,2005,100 cc,"90,000 km",Motorbikes,Used,2005,Colombo 15,https://ikman.lk/en/ad/bajaj-ct100-2005-for-sale-colombo-1027
Honda Super Cub 50 1998,"Rs 75,000",Honda,Super Cub,1998,50 cc,"100,000 km",Motorbikes,Used,Super Cub 50,Kinniya,https://ikman.lk/en/ad/honda-super-cub-50-1998-for-sale-trincomalee
Demak Tropica 2021,"Rs 250,000",Demak,Tropica,2021,125 cc,"11,843 km",Scooters,Used,,Kandy City,https://ikman.lk/en/ad/demak-tropica-2021-for-sale-kandy
TVS Ntorq 125 2018,"Rs 565,000",TVS,Ntorq 125,2018,125 cc,"68,000 km",Scooters,Used,,Welimada,https://ikman.lk/en/ad/tvs-ntorq-2018-for-sale-badulla
Bajaj Pulsar NS160 2019,"Rs 150,000",Bajaj,Pulsar NS160,2019,160 cc,"32,000 km",Motorbikes,Used,2019,Veyangoda,https://ikman.lk/en/ad/bajaj-pulsar-ns160-dual-abs-2019-for-sale-gampaha
Bajaj Pulsar N160 Premium 2026,"Rs 377,350",Bajaj,Pulsar N160,2026,160 cc,0 km,Motorbikes,Brand New,Premium,Kegalle City,https://ikman.lk/en/ad/bajaj-pulsar-n160-premium-2026-for-sale-kegalle-80
Bajaj CT100 2005,"Rs 210,000",Bajaj,CT100,2005,100 cc,"70,000 km",Motorbikes,Used,,Ja-Ela,https://ikman.lk/en/ad/bajaj-ct100-2005-for-sale-gampaha-925
Aprilia SR 150 MT 2018,"Rs 400,000",Aprilia,SR,2018,150 cc,"34,000 km",Scooters,Used,150 MT,Talawatugoda,https://ikman.lk/en/ad/aprilia-sr-150-mt-2018-for-sale-colombo
KTM RC 200 2019,"Rs 1,735,000",KTM,RC 200,2019,200 cc,"29,000 km",Motorbikes,Used,RC 200,Jaffna City,https://ikman.lk/en/ad/ktm-rc-200-2019-for-sale-jaffna-133
TVS Scooty Pep+ 2008,"Rs 150,000",TVS,Scooty Pep+,2008,90 cc,"84,000 km",Scooters,Used,,Wattala,https://ikman.lk/en/ad/tvs-scooty-pep-2008-for-sale-gampaha-720
NWOW TK 10 2025,"Rs 300,000",NWOW,TK 10,2025,50 cc,500 km,E-bikes,Used,,Ja-Ela,https://ikman.lk/en/ad/nwow-tk-10-2025-for-sale-gampaha-1
Honda Hornet CH130 2010,"Rs 900,000",Honda,Hornet,2010,250 cc,"20,000 km",Motorbikes,Reconditioned,CH130,Minuwangoda,https://ikman.lk/en/ad/honda-hornet-ch130-2010-for-sale-gampaha-2
Bajaj Pulsar 135 2012,"Rs 198,000",Bajaj,Pulsar 135,2012,135 cc,"37,525 km",Motorbikes,Used,,Katunayake,https://ikman.lk/en/ad/bajaj-pulsar-135-2012-for-sale-gampaha-2444
Bajaj Platina 2007,"Rs 198,000",Bajaj,Platina,2007,100 cc,"34,222 km",Motorbikes,Used,Bajaj,Katunayake,https://ikman.lk/en/ad/bajaj-platina-2007-for-sale-gampaha-1772
Bajaj Pulsar 135 2012,"Rs 208,000",Bajaj,Pulsar 135,2012,135 cc,"34,855 km",Motorbikes,Used,,Katunayake,https://ikman.lk/en/ad/bajaj-pulsar-135-2012-for-sale-gampaha-2443
Yamaha R15 2019,"Rs 1,130,000",Yamaha,R15,2019,155 cc,"41,000 km",Motorbikes,Used,Yamaha,Akurana,https://ikman.lk/en/ad/yamaha-r15-red-and-gray-2019-for-sale-kandy-1
Hero Pleasure 2012,"Rs 245,000",Hero,Pleasure,2012,100 cc,"31,525 km",Scooters,Used,,Katunayake,https://ikman.lk/en/ad/hero-pleasure-2012-for-sale-gampaha-4110
Honda Dio 2016,"Rs 445,000",Honda,Dio,2016,110 cc,"34,252 km",Scooters,Used,,Katunayake,https://ikman.lk/en/ad/honda-dio-2016-for-sale-gampaha-6170
Bajaj Pulsar 150 2019,"Rs 680,000",Bajaj,Pulsar 150,2019,150 cc,"51,000 km",Motorbikes,Used,,Kalmunai,https://ikman.lk/en/ad/bajaj-pulsar-150-2019-for-sale-ampara-374
Bajaj Pulsar 135 2013,"Rs 320,000",Bajaj,Pulsar 135,2013,135 cc,"34,500 km",Motorbikes,Used,,Wennappuwa,https://ikman.lk/en/ad/bajaj-pulsar-135-2013-for-sale-puttalam-97
TVS Stryker 125 2017,"Rs 330,000",TVS,Stryker 125,2017,125 cc,"78,675 km",Motorbikes,Used,,Nugegoda,https://ikman.lk/en/ad/tvs-stryker-125-2017-for-sale-colombo-29
Yamaha DT 1988,"Rs 255,000",Yamaha,DT,1988,125 cc,"185,000 km",Motorbikes,Used,Yamaha,Kurunegala City,https://ikman.lk/en/ad/yamaha-dt-dt125lc-1988-for-sale-kurunegala
